C:\Nolek\Logs\2022-0772_C1_230227.csv;120 Bar;60 Liter;Room GR1.1
Log Time;StepNo;CircuitName;TMP1;TMP2;B31;B32;B21;B22;P101;RegulatorSP;RegulatorFB
27/02/2023 17.01.39;24000;R1.1;20,29;20,16;20,91304;17,41582;65,92423;66,25365;77,79625;66;0
27/02/2023 17.02.09;24000;R1.1;20,28;20,16;20,80978;17,41582;65,86082;66,18441;78,10385;66;0
27/02/2023 17.02.39;24000;R1.1;20,28;20,16;20,80978;17,51531;65,88965;66,17864;78,44764;66;0
27/02/2023 17.03.09;24000;R1.1;20,28;20,16;20,80978;17,81377;66,25855;66,53059;78,80952;66;0
27/02/2023 17.03.39;24000;R1.1;20,28;20,16;20,80978;18,01275;66,28737;66,59983;79,23474;66;0
27/02/2023 17.04.09;24000;R1.1;20,27;20,16;20,80978;18,01275;66,19514;66,50751;79,76852;66;0
27/02/2023 17.04.40;24000;R1.1;20,27;20,16;20,80978;18,01275;66,1548;66,46713;80,20278;66;0
27/02/2023 17.05.10;24000;R1.1;20,28;20,16;20,70652;18,11224;66,16633;66,46713;80,66418;66;0
27/02/2023 17.05.40;24000;R1.1;20,28;20,16;20,70652;18,21173;66,2355;66,53637;81,04417;66;0
27/02/2023 17.06.10;24000;R1.1;20,28;20,16;20,70652;18,31122;66,30466;66,61714;81,42415;66;0
27/02/2023 17.06.40;24000;R1.1;20,28;20,16;20,70652;18,31122;66,32196;66,64599;81,84936;66;0
27/02/2023 17.07.11;24000;R1.1;20,28;20,16;20,70652;18,41071;66,32196;66,64022;82,24744;66;0
27/02/2023 17.07.41;24000;R1.1;20,29;20,16;20,70652;18,41071;66,31043;66,63445;82,6636;66;0
27/02/2023 17.08.11;24000;R1.1;20,3;20,17;20,60326;18,41071;66,31043;66,62868;83,05263;66;0
27/02/2023 17.08.41;26000;R1.1;20,29;20,17;20,60326;18,5102;67,3595;66,58253;83,4688;66;0
27/02/2023 17.09.11;26000;R1.1;20,3;20,17;20,60326;18,41071;67,44019;66,49598;83,89401;66;0
27/02/2023 17.09.41;26000;R1.1;20,3;20,18;20,60326;18,41071;67,48055;66,44982;84,28304;66;0
27/02/2023 17.10.11;26000;R1.1;20,3;20,18;20,60326;18,41071;67,5036;66,36904;84,6992;66;0
27/02/2023 17.10.41;26000;R1.1;20,31;20,18;20,60326;18,41071;67,5209;66,28827;85,1787;66;0
27/02/2023 17.11.11;26000;R1.1;20,33;20,18;20,60326;18,41071;67,5209;66,2248;85,62201;66;0
27/02/2023 17.11.41;26000;R1.1;20,35;20,19;20,5;18,5102;67,54395;66,18441;86,06532;66;0
27/02/2023 17.12.12;26000;R1.1;20,37;20,19;20,5;18,5102;67,56124;66,10941;86,51768;66;0
27/02/2023 17.12.42;26000;R1.1;20,38;20,19;20,5;18,5102;67,56124;66,0344;86,93385;66;0
27/02/2023 17.13.12;26000;R1.1;20,38;20,2;20,5;18,5102;67,57277;65,94785;87,36811;66;0
27/02/2023 17.13.42;26000;R1.1;20,39;20,2;20,5;18,5102;67,5843;65,86708;87,82047;66;0
27/02/2023 17.14.12;26000;R1.1;20,38;20,2;20,5;18,5102;67,59007;65,7863;88,25473;66;0
27/02/2023 17.14.42;26000;R1.1;20,36;20,21;20,5;18,60969;67,60159;65,71706;88,70708;66;0
27/02/2023 17.15.13;26000;R1.1;20,35;20,21;20,40152;18,60969;67,60159;65,63052;89,1142;66;0
27/02/2023 17.15.43;26000;R1.1;20,34;20,21;20,40152;18,60969;67,60735;65,54974;89,56656;66;0
27/02/2023 17.16.13;26000;R1.1;20,34;20,22;20,40152;18,60969;67,62465;65,47474;90,02796;66;0
27/02/2023 17.16.43;26000;R1.1;20,33;20,22;20,40152;18,60969;67,63041;65,4055;90,45318;66;0
27/02/2023 17.17.13;26000;R1.1;20,33;20,22;20,40152;18,70918;67,64194;65,33627;90,88744;66;0
27/02/2023 17.17.43;26000;R1.1;20,32;20,22;20,40152;18,70918;67,65347;65,26126;91,3398;66;0
27/02/2023 17.18.14;26000;R1.1;20,32;20,22;20,40152;18,70918;67,65923;65,17471;91,8012;66;0
27/02/2023 17.18.44;26000;R1.1;20,33;20,22;20,40152;18,70918;67,65923;65,09971;92,21737;66;0
27/02/2023 17.19.14;26000;R1.1;20,33;20,23;20,30303;18,80867;67,67076;65,03624;92,65163;66;0
27/02/2023 17.19.44;26000;R1.1;20,34;20,23;20,30303;18,80867;67,68229;64,96124;93,08589;66;0
27/02/2023 17.20.14;26000;R1.1;20,35;20,23;20,30303;18,80867;67,69382;64,88623;93,53825;66;0
27/02/2023 17.20.44;26000;R1.1;20,36;20,24;20,30303;18,80867;67,69382;64,82853;93,96346;66;0
27/02/2023 17.21.15;26000;R1.1;20,37;20,23;20,30303;18,90816;67,69958;64,75352;94,42487;66;0
27/02/2023 17.21.45;26000;R1.1;20,36;20,23;20,30303;18,90816;67,69958;64,67852;94,86818;66;0
27/02/2023 17.22.15;26000;R1.1;20,36;20,23;20,30303;18,90816;67,70535;64,62082;95,28435;66;0
27/02/2023 17.22.45;26000;R1.1;20,36;20,23;20,30303;18,90816;67,71687;64,55158;95,7367;66;0
27/02/2023 17.23.15;26000;R1.1;20,35;20,24;20,30303;19,00765;67,7284;64,47658;96,17097;66;0
27/02/2023 17.23.45;26000;R1.1;20,35;20,24;20,30303;19,00765;67,73993;64,41311;96,62332;66;0
27/02/2023 17.24.16;26000;R1.1;20,35;20,24;20,30303;19,00765;67,73993;64,34965;97,03949;66;0
27/02/2023 17.24.46;26000;R1.1;20,35;20,24;20,20455;19,00765;67,73993;64,28618;97,50994;66;0
27/02/2023 17.25.16;26000;R1.1;20,36;20,24;20,20455;19,00765;67,7457;64,2054;97,90801;66;0
